,file_name,shape
0,circle-0.jpg,circle
1,circle-1.jpg,circle
2,circle-10.jpg,circle
3,circle-100.jpg,circle
4,circle-1000.jpg,circle
5,circle-1001.jpg,circle
6,circle-1002.jpg,circle
7,circle-1003.jpg,circle
8,circle-1004.jpg,circle
9,circle-1005.jpg,circle
10,circle-1006.jpg,circle
11,circle-1007.jpg,circle
12,circle-1008.jpg,circle
13,circle-1009.jpg,circle
14,circle-101.jpg,circle
15,circle-1010.jpg,circle
16,circle-1011.jpg,circle
17,circle-1012.jpg,circle
18,circle-1013.jpg,circle
19,circle-1014.jpg,circle
20,circle-1015.jpg,circle
21,circle-1016.jpg,circle
22,circle-1017.jpg,circle
23,circle-1018.jpg,circle
24,circle-1019.jpg,circle
25,circle-102.jpg,circle
26,circle-1020.jpg,circle
27,circle-1021.jpg,circle
28,circle-1022.jpg,circle
29,circle-1023.jpg,circle
30,circle-1024.jpg,circle
31,circle-1025.jpg,circle
32,circle-1026.jpg,circle
33,circle-1027.jpg,circle
34,circle-1028.jpg,circle
35,circle-1029.jpg,circle
36,circle-103.jpg,circle
37,circle-1030.jpg,circle
38,circle-1031.jpg,circle
39,circle-1032.jpg,circle
40,circle-1033.jpg,circle
41,circle-1034.jpg,circle
42,circle-1035.jpg,circle
43,circle-1036.jpg,circle
44,circle-1037.jpg,circle
45,circle-1038.jpg,circle
46,circle-1039.jpg,circle
47,circle-104.jpg,circle
48,circle-1040.jpg,circle
49,circle-1041.jpg,circle
50,circle-1042.jpg,circle
51,circle-1043.jpg,circle
52,circle-1044.jpg,circle
53,circle-1045.jpg,circle
54,circle-1046.jpg,circle
55,circle-1047.jpg,circle
56,circle-1048.jpg,circle
57,circle-1049.jpg,circle
58,circle-105.jpg,circle
59,circle-1050.jpg,circle
60,circle-1051.jpg,circle
61,circle-1052.jpg,circle
62,circle-1053.jpg,circle
63,circle-1054.jpg,circle
64,circle-1055.jpg,circle
65,circle-1056.jpg,circle
66,circle-1057.jpg,circle
67,circle-1058.jpg,circle
68,circle-1059.jpg,circle
69,circle-106.jpg,circle
70,circle-1060.jpg,circle
71,circle-1061.jpg,circle
72,circle-1062.jpg,circle
73,circle-1063.jpg,circle
74,circle-1064.jpg,circle
75,circle-1065.jpg,circle
76,circle-1066.jpg,circle
77,circle-1067.jpg,circle
78,circle-1068.jpg,circle
79,circle-1069.jpg,circle
80,circle-107.jpg,circle
81,circle-1070.jpg,circle
82,circle-1071.jpg,circle
83,circle-1072.jpg,circle
84,circle-1073.jpg,circle
85,circle-1074.jpg,circle
86,circle-1075.jpg,circle
87,circle-1076.jpg,circle
88,circle-1077.jpg,circle
89,circle-1078.jpg,circle
90,circle-1079.jpg,circle
91,circle-108.jpg,circle
92,circle-1080.jpg,circle
93,circle-1081.jpg,circle
94,circle-1082.jpg,circle
95,circle-1083.jpg,circle
96,circle-1084.jpg,circle
97,circle-1085.jpg,circle
98,circle-1086.jpg,circle
99,circle-1087.jpg,circle
100,circle-1088.jpg,circle
101,circle-1089.jpg,circle
102,circle-109.jpg,circle
103,circle-1090.jpg,circle
104,circle-1091.jpg,circle
105,circle-1092.jpg,circle
106,circle-1093.jpg,circle
107,circle-1094.jpg,circle
108,circle-1095.jpg,circle
109,circle-1096.jpg,circle
110,circle-1097.jpg,circle
111,circle-1098.jpg,circle
112,circle-1099.jpg,circle
113,circle-11.jpg,circle
114,circle-110.jpg,circle
115,circle-1100.jpg,circle
116,circle-1101.jpg,circle
117,circle-1102.jpg,circle
118,circle-1103.jpg,circle
119,circle-1104.jpg,circle
120,circle-1105.jpg,circle
121,circle-1106.jpg,circle
122,circle-1107.jpg,circle
123,circle-1108.jpg,circle
124,circle-1109.jpg,circle
125,circle-111.jpg,circle
126,circle-1110.jpg,circle
127,circle-1111.jpg,circle
128,circle-1112.jpg,circle
129,circle-1113.jpg,circle
130,circle-1114.jpg,circle
131,circle-1115.jpg,circle
132,circle-1116.jpg,circle
133,circle-1117.jpg,circle
134,circle-1118.jpg,circle
135,circle-1119.jpg,circle
136,circle-112.jpg,circle
137,circle-1120.jpg,circle
138,circle-1121.jpg,circle
139,circle-1122.jpg,circle
140,circle-1123.jpg,circle
141,circle-1124.jpg,circle
142,circle-1125.jpg,circle
143,circle-1126.jpg,circle
144,circle-1127.jpg,circle
145,circle-1128.jpg,circle
146,circle-1129.jpg,circle
147,circle-113.jpg,circle
148,circle-1130.jpg,circle
149,circle-1131.jpg,circle
150,circle-1132.jpg,circle
151,circle-1133.jpg,circle
152,circle-1134.jpg,circle
153,circle-1135.jpg,circle
154,circle-1136.jpg,circle
155,circle-1137.jpg,circle
156,circle-1138.jpg,circle
157,circle-1139.jpg,circle
158,circle-114.jpg,circle
159,circle-1140.jpg,circle
160,circle-1141.jpg,circle
161,circle-1142.jpg,circle
162,circle-1143.jpg,circle
163,circle-1144.jpg,circle
164,circle-1145.jpg,circle
165,circle-1146.jpg,circle
166,circle-1147.jpg,circle
167,circle-1148.jpg,circle
168,circle-1149.jpg,circle
169,circle-115.jpg,circle
170,circle-1150.jpg,circle
171,circle-1151.jpg,circle
172,circle-1152.jpg,circle
173,circle-1153.jpg,circle
174,circle-1154.jpg,circle
175,circle-1155.jpg,circle
176,circle-1156.jpg,circle
177,circle-1157.jpg,circle
178,circle-1158.jpg,circle
179,circle-1159.jpg,circle
180,circle-116.jpg,circle
181,circle-1160.jpg,circle
182,circle-1161.jpg,circle
183,circle-1162.jpg,circle
184,circle-1163.jpg,circle
185,circle-1164.jpg,circle
186,circle-1165.jpg,circle
187,circle-1166.jpg,circle
188,circle-1167.jpg,circle
189,circle-1168.jpg,circle
190,circle-1169.jpg,circle
191,circle-117.jpg,circle
192,circle-1170.jpg,circle
193,circle-1171.jpg,circle
194,circle-1172.jpg,circle
195,circle-1173.jpg,circle
196,circle-1174.jpg,circle
197,circle-1175.jpg,circle
198,circle-1176.jpg,circle
